No.,IO Bank,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg. Trace Delay (ps),Pin Number,Avg. Trace Delay (ps),,Prohibit,Interface,Signal Name,Direction,IO Standard,Drive (mA),Slew Rate,OFFCHIP_TERM,Board Signal,Board Voltage
126,502,IOPAD_X1Y2,PS_DDR_VRN_502,83.212,84.049,83.631,G5,83.631,,,FIXED_IO_54576,FIXED_IO_ddr_vrn,INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
127,502,IOPAD_X1Y3,PS_DDR_VRP_502,88.98,89.874,89.427,H5,89.427,,,FIXED_IO_54576,FIXED_IO_ddr_vrp,INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
128,500,IOPAD_X1Y26,PS_CLK_500,90.19,91.096,90.643,E7,90.643,,,FIXED_IO_54576,FIXED_IO_ps_clk,INOUT,LVCMOS33,12,FAST,FP_VTT_50,,
129,500,IOPAD_X1Y132,PS_POR_B_500,88.035,88.92,88.478,C7,88.478,,,FIXED_IO_54576,FIXED_IO_ps_porb,INOUT,LVCMOS33,12,FAST,FP_VTT_50,,
130,501,IOPAD_X1Y134,PS_SRST_B_501,75.877,76.639,76.258,B10,76.258,,,FIXED_IO_54576,FIXED_IO_ps_srstb,INOUT,LVCMOS33,12,FAST,FP_VTT_50,,
131,0,IPAD_X0Y1,VN_0,110.777,111.89,111.334,L10,111.334,,,,,,,,,,,
132,0,IPAD_X0Y0,VP_0,126.3,127.57,126.935,K9,126.935,,,,,,,,,,,
133,0,,DONE_0,28.057,28.339,28.198,R11,28.198,,,,,,,,,,,
134,0,,DXP_0,75.902,76.665,76.284,M9,76.284,,,,,,,,,,,
135,0,,GNDADC_0,,,,J10,,,,,,,,,,,,
136,0,,VCCADC_0,,,,J9,,,,,,,,,,,,
